Store Name,Location,Stock Quantity,Available Sizes,Price (AED),Gender,Color Scheme,Occasion Category
Namshi,Dubai,15,"S, M, L",150,Female,Pastel,Formals
Ounass,Dubai,20,"M, L, XL",420,Female,Bold,Festive
Splash,Dubai,8,"XS, S, M",75,Unisex,Neutral,Casuals
6thStreet,Dubai,30,"S, L, XL",220,Male,Monochrome,Street Style
SIVVI,Dubai,5,"M, L",130,Unisex,Vibrant,Sports Wear
Namshi,Dubai,25,"XS, S",180,Female,Neon,Formals
Ounass,Dubai,10,"M, L",390,Male,Pastel,Casuals
Splash,Dubai,12,"L, XL",90,Unisex,Earth Tones,Festive
6thStreet,Dubai,18,"S, M",240,Male,Classic,Street Style
SIVVI,Dubai,7,"XS, S, M, L",160,Female,Metallic,Sports Wear
